,Serbian
0,da
1,je
2,ne
3,se
4,i
5,u
6,to
7,sam
8,na
9,ti
10,mi
11,za
12,si
13,li
14,šta
15,što
16,ja
17,ali
18,sa
19,su
20,nije
21,ovo
22,samo
23,me
24,te
25,od
26,a
27,ga
28,bi
29,kako
30,o
31,dobro
32,ako
33,sve
34,smo
35,kao
36,će
37,tako
38,znam
39,nisam
40,mogu
41,ste
42,ovde
43,pa
44,bio
45,zašto
46,s
47,on
48,još
49,nešto
50,bilo
51,redu
52,biti
53,koji
54,kad
55,vas
56,ću
57,hvala
58,iz
59,mislim
60,ima
61,ili
62,znaš
63,možda
64,ih
65,više
66,onda
67,sada
68,vam
69,zar
70,gde
71,да
72,do
73,bih
74,treba
75,moj
76,mu
77,rekao
78,bila
79,malo
80,kada
81,nema
82,ništa
83,nas
84,mene
85,ko
86,ona
87,је
88,tebe
89,molim
90,sad
91,ni
92,hajde
93,tamo
94,može
95,možeš
96,imam
97,zbog
98,vi
99,nam
100,želim
101,tu
102,hej
103,nisi
104,stvarno
105,jesi
106,jer
107,svi
108,po
109,zato
110,baš
111,ljudi
112,moram
113,koliko
114,ćemo
115,misliš
116,već
117,jedan
118,stvari
119,idemo
120,pre
121,moja
122,ćeš
123,nego
124,koje
125,dok
126,neće
127,uvek
128,bez
129,oh
130,naravno
131,toga
132,ono
133,imaš
134,mnogo
135,joj
136,možemo
137,ovaj
138,neko
139,oni
140,gospodine
141,vreme
142,taj
143,dana
144,kod
145,koja
146,tvoj
147,zdravo
148,reći
149,moje
150,znači
151,tome
152,posao
153,nikad
154,žao
155,hoćeš
156,rekla
157,bolje
158,godina
159,imamo
160,mogao
161,put
162,jeste
163,vidim
164,dan
165,mora
166,radi
167,izgleda
168,neću
169,moramo
170,želiš
171,nemoj
172,bude
173,bili
174,kažem
175,ovdje
176,radiš
177,meni
178,idem
179,bože
180,mama
181,не
182,moraš
183,ok
184,daj
185,dobar
186,tata
187,vidi
188,volim
189,се
190,im
191,у
192,život
193,kući
194,reci
195,и
196,svoje
197,dva
198,njega
199,trebalo
200,stvar
201,nisu
202,mislio
203,vremena
204,imao
205,evo
206,danas
207,znate
208,nikada
209,zna
210,odmah
211,tvoja
212,možete
213,toliko
214,neka
215,kaže
216,neki
217,video
218,tri
219,tim
220,tobom
221,čak
222,ime
223,veoma
224,то
225,koju
226,hoću
227,čemu
228,niko
229,oko
230,svoju
231,žena
232,tvoje
233,opet
234,upravo
235,svoj
236,mnom
237,jesam
238,ide
239,сам
240,nismo
241,idi
242,sigurno
243,vidimo
244,jednom
245,radim
246,ove
247,god
248,vidiš
249,postoji
250,nemam
251,gdje
252,otac
253,ta
254,kažeš
255,čovek
256,tebi
257,puno
258,znao
259,lepo
260,želi
261,puta
262,godine
263,čekaj
264,pravu
265,jako
266,prvi
267,novac
268,dovoljno
269,sutra
270,izvini
271,dalje
272,zajedno
273,dušo
274,sebe
275,drugi
276,njih
277,došao
278,dosta
279,problem
280,imate
281,g
282,prema
283,ova
284,odavde
285,mesto
286,koga
287,ovamo
288,slušaj
289,jedna
290,vrlo
291,drago
292,uradio
293,način
294,desilo
295,sranje
296,budem
297,pomoći
298,ponovo
299,ma
300,mogla
301,kroz
302,posle
303,nećeš
304,dobra
305,zaista
306,hteo
307,vrata
308,brzo
309,tko
310,njim
311,moju
312,pogledaj
313,siguran
314,dođi
315,neke
316,nekoliko
317,par
318,noć
319,dugo
320,verujem
321,pod
322,jednu
323,loše
324,previše
325,naš
326,ovog
327,večeras
328,mislila
329,на
330,trebao
331,mog
332,ovako
333,izvinite
334,vaš
335,ćete
336,gore
337,ovu
338,isto
339,pravo
340,nakon
341,teško
342,mogli
343,svaki
344,nama
345,prvo
346,nadam
347,protiv
348,super
349,čuo
350,mali
351,jedno
352,vama
353,prije
354,kasnije
355,niste
356,minuta
357,biće
358,l
359,unutra
360,pravi
361,sto
362,шта
363,znamo
364,dešava
365,momci
366,majka
367,ovom
368,osim
369,imala
370,ubio
371,sta
372,jednog
373,tom
374,ćao
375,sviđa
376,pomoć
377,ideš
378,dve
379,mislite
380,kuće
381,imaju
382,pusti
383,preko
384,ти
385,doći
386,vaše
387,naše
388,želite
389,one
390,verovatno
391,dakle
392,istina
393,veliki
394,ljude
395,čoveče
396,hoće
397,dogodilo
398,jel
399,kakav
400,за
401,budeš
402,njegov
403,ми
404,tačno
405,naći
406,budi
407,misli
408,razumem
409,zove
410,auto
411,imali
412,čini
413,uvijek
414,dolazi
415,radio
416,ići
417,dete
418,rekli
419,onaj
420,ли
421,deo
422,broj
423,nju
424,otišao
425,tog
426,ruke
427,dole
428,imati
429,uz
430,pet
431,zapravo
432,vezi
433,ја
434,sebi
435,života
436,mrtav
437,priča
438,veze
439,nekog
440,bismo
441,vrati
442,си
443,svog
444,dao
445,ipak
446,bar
447,novi
448,videla
449,drugo
450,posla
451,ovim
452,tip
453,svojim
454,prijatelj
455,vrijeme
456,vidite
457,dobio
458,stani
459,vaša
460,prestani
461,iza
462,sama
463,žene
464,znala
465,tvoju
466,odlično
467,skoro
468,sin
469,njima
470,govori
471,vratiti
472,pitanje
473,nazad
474,voli
475,uzmi
476,došli
477,srce
478,važno
479,dolara
480,njom
481,mom
482,njemu
483,pitam
484,morate
485,takođe
486,radimo
487,voleo
488,ce
489,jutro
490,najbolje
491,problema
492,oca
493,uskoro
494,sjajno
495,са
496,nekoga
497,jednostavno
498,gotovo
499,су
500,čega
501,trenutak
502,potpuno
503,drži
504,sigurna
505,tada
506,ovoga
507,uopšte
508,dobiti
509,briga
510,otići
511,njegova
512,brini
513,ranije
514,ju
515,stalno
516,došla
517,bog
518,našao
519,ponekad
520,kakva
521,strane
522,ljubav
523,moći
524,htela
525,sati
526,naša
527,nemaš
528,kuću
529,tek
530,osećam
531,valjda
532,noći
533,halo
534,želeo
535,spreman
536,životu
537,poput
538,lako
539,pričaš
540,devojka
541,između
542,uradim
543,morao
544,trebali
545,jedini
546,али
547,ideja
548,trebala
549,ženu
550,znati
551,ozbiljno
552,čudno
553,uh
554,nećemo
555,druge
556,pola
557,sat
558,prijatelji
559,videti
560,glavu
561,pretpostavljam
562,čoveka
563,hoćete
564,ubiti
565,svet
566,prava
567,zvuči
568,oči
569,živi
570,grad
571,mala
572,pored
573,dr
574,radite
575,draga
576,pred
577,rade
578,tvog
579,kraj
580,velika
581,biste
582,jasno
