ћирилица,latinica,ru_transcription,en_transcription,de_transcription,tr_transcription,IPA_value,sample_ћирилица,sample_latinica,sample_ru,sample_en,sample_de,sample_tr,img_url,sound_url
А а,A a,[a],A in Assam,wie deutsches a,A,/ä/,аутомобил,automobil,автомобиль,car,Auto,araba,images/alphabet/car.png,sounds/automobil.mp3
Б б,B b,[б],B in bench,B – immer stimmhaft,B,/b/,беба,beba,малышь,baby,Baby,Bebek,images/alphabet/baby.png,sounds/beba.mp3
В в,V v,[в],V in victim,W – immer stimmhaft,V,/ʋ/,водопад,vodopad,водопад,waterfall,Wasserfall,şelale,images/alphabet/waterfall.png,sounds/vodopad.mp3
Г г,G g,[г],G in good,G – immer stimmhaft,G,/ɡ/,грозд,grozd,гроздь,grape,Traube,salkım,images/alphabet/grape.png,sounds/grozd.mp3
Д д,D d,[д],D in desk,D – immer stimmhaft,D,/d/,дрво,drvo,дерево,"tree, wood","Baum, Holz","ağaç, odun",images/alphabet/tree.png,sounds/drvo.mp3
Ђ ђ,Đ đ,мягкое [дж],like d in “due”,wie deutsches dj oder dsch,yumuşak C,/dʑ/,ђак,đak,ученик,pupil,Schüler,öğrenci,images/alphabet/pupil.png,sounds/đak.mp3
Е е,E e,[э],E in let,immer offen wie in Erna,E,/e̞/,ексер,ekser,гвоздь,nail,Nagel,"çivi, mıh",images/alphabet/nail.png,sounds/ekser.mp3
Ж ж,Ž ž,[ж],like s in “pleasure”,wie J in Journal,J,/ʐ/,жаба,žaba,"жаба, лягушка",frog,Frosch,kurbağa,images/alphabet/frog.png,sounds/žaba.mp3
З з,Z z,[з],Z in Zen,wie S in Sonne,Z,/z/,зебра,zebra,зебра,zebra,Zebra,zebra,images/alphabet/zebra.png,sounds/zebra.mp3
И и,I i,[и],e in he ,wie deutsches i,i,/i/,игла,igla,иголка,needle,Nadel,iğne,images/alphabet/needle.png,sounds/igla.mp3
Ј ј,J j,[й],y in yoyo,"J in Ja, oft wie unbetontes I",Y,/j/,jагода,jagoda,клубника,strawberry,Erdbeere,çilek,images/alphabet/strawberry.png,sounds/jagoda.mp3
К к,K k,[к],k in club ,K – weniger aspiriert,K,/k/,коњ,konj,лошадь,horse,Pferd,at,images/alphabet/horse.png,sounds/konj.mp3
Л л,L l,[л],L in liver,wie deutsches L,Ingilizce gibi L,/l/,лопта,lopta,мяч,ball,Ball,top,images/alphabet/ball.png,sounds/lopta.mp3
Љ љ,Lj lj,[ль],like l in “million”,ungefähr wie deutsches L,L,/ʎ/,љуљашка,ljuljaška,качели,swing,Schaukel,salıncak,images/alphabet/swing.png,sounds/ljuljaška.mp3
М м,M m,[м],M in man,wie deutsches M,M,/m/,мотоцикл,motocikl,мотоцикл,motorcycle,Motorrad,motosiklet,images/alphabet/motorcycle.png,sounds/motocikl.mp3
Н н,N n,[н],N in no,wie deutsches N,N,/n/,наочаре,naočare,очки,glasses,Gläser,gözlük,images/alphabet/glasses.png,sounds/naočare.mp3
Њ њ,Nj nj,[нь],like n in “minion”,ungefähr wie deutsches nj,yumuşak N,/ɲ/,њушка,njuška,мордочка,(dog's) snout,Schnauze,hayvan ağzı,images/alphabet/snout.png,sounds/njuška.mp3
О о,O o,[о],O in operate,immer offen wie O in Onkel,O,/ɔ̝/,око,oko,глаз,eye,Auge,göz,images/alphabet/eye.png,sounds/oko.mp3
П п,P p,[п],P in pen,P – weniger aspiriert,P,/p/,пут,put,дорога,road,Weg,yol,images/alphabet/road.png,sounds/put.mp3
Р р,R r,[р],R in Ferrero,gerolltes Zungen-R,R,/ɾ/,робот,robot,робот,robot,Roboter,robot,images/alphabet/robot.png,sounds/robot.mp3
С с,S s,[с],S in stop,immer stimmlos wie ß,S,/s/,сат,sat,"час, часы","hour, clock","Stunde, Uhr",saat,images/alphabet/clock.png,sounds/sat.mp3
Т т,T t,[т],T in top,T – weniger aspiriert,T,/t/,табла,tabla,классная доска,blackboard,Schwarzes Brett,yazı tahtası,images/alphabet/blackboard.png,sounds/tabla.mp3
Ћ ћ,Ć ć,мягкое [ч],like t in “tube”,wie tch in Brötchen,yumuşak Ç,/tɕ/,ћурка,ćurka,индейка,turkey,Truthahn,hindi,images/alphabet/turkey.png,sounds/ćurka.mp3
У у,U u,[у],oo in room,wie deutsches U,U,/u/,уво,uvo,ухо,ear,Ohr,kulak,images/alphabet/ear.png,sounds/uvo.mp3
Ф ф,F f,[ф],F in fish,wie deutsches F,F,/f/,фока,foka,тюлень,seal,Hundsrobben,fok,images/alphabet/seal.png,sounds/foka.mp3
Х х,H h,[х],H in Henry,immer hinteres „ach“-H,H,/x/,хлеб,hleb,хлеб,bread,Brot,ekmek,images/alphabet/bread.png,sounds/hleb.mp3
Ц ц,C c,[ц],like ts in “lots”,wie deutsches Z,ts,/ts/,ципела,cipela,туфли,shoe,Schuh,ayakkabı,images/alphabet/shoe.png,sounds/cipela.mp3
Ч ч,Č č,твёрдое [ч],Ch in chokolate,tsch wie im Wort Deutschland,Ç,/t͡ʂ/,чаша,čaša,"стакан, чаша",glass,Glas,bardak,images/alphabet/glass.png,sounds/čaša.mp3
Џ џ,Dž dž,твёрдое [дж],J in John,dsch wie in Dschungel,C,/d͡ʐ/,џак,džak,мешок,bag,Sack,"çuval, torba",images/alphabet/bag.png,sounds/džak.mp3
Ш ш,Š š,[ш],Sh in shoulder,sch wie in Schach,Ş,/ʂ/,школа,škola,школа,school,Schule,okul,images/alphabet/school.png,sounds/škola.mp3
